log_name,session_id,raw_file_bytes,raw_file_sha256,raw_frames,raw_allowlisted_frames,candidate_windows,short_window,invalid_current,no_route,not_in_allowlist,eligible_scenes,unit_stride_eligible_scenes,distinct_valid_window_current_tokens,protocol_cell,cache_scenes,protocol_scenes
2021.05.12.19.36.12_veh-35_00005_00204,2021.05.12.19.36.12_veh-35,10781480,1a44a1c0488643900fa216f596604401a86e6137ef670fb45bbb1f04f31718be,398,6,29,1,0,0,28,0,6,28,stage3:train,1,1
2021.05.12.19.36.12_veh-35_00215_00405,2021.05.12.19.36.12_veh-35,9404629,8f4621571958ab0990545f993dd0dd3c029d24c5844f99628716a7b861903381,380,32,28,1,0,0,24,3,32,27,stage3:train,5,5
2021.05.12.19.36.12_veh-35_00416_00557,2021.05.12.19.36.12_veh-35,7474014,ce11dd792a50cc1d5dab218642c126345da55d0464a7cb07ced8ce533ee752d7,282,48,21,1,0,0,18,2,48,20,stage3:train,8,8
2021.05.12.19.36.12_veh-35_00568_01168,2021.05.12.19.36.12_veh-35,25453969,fc0c3a027002cb61ae282de5543205cb3666fa9f74063eff6e1bee7f5cfe8db1,1200,212,86,1,0,0,70,15,212,85,stage3:train,26,26
2021.05.12.19.36.12_veh-35_01179_01278,2021.05.12.19.36.12_veh-35,4978411,44de05281127df9aeafc36b4645616586ba26836ae5b469d20ca81b1a1fdfdf3,198,5,15,1,0,0,14,0,5,14,stage3:train,1,1
2021.05.12.19.36.12_veh-35_01400_01643,2021.05.12.19.36.12_veh-35,12999097,915ebb392bd46e725967b297479c74d58843fdf790f58367cffa46008e58b876,486,80,35,1,0,0,27,7,80,34,stage3:train,11,11
2021.05.12.19.36.12_veh-35_01744_01934,2021.05.12.19.36.12_veh-35,11810483,df025cf0dfbe9cfeaf9027b589b2d7531a56b3fb3f3bc9e114e0a79b061aa403,380,19,28,1,0,0,27,0,19,27,stage3:train,3,3
2021.05.12.19.36.12_veh-35_01945_02065,2021.05.12.19.36.12_veh-35,5687428,26465e9ccd38d542f78c5a68d26f4549ef975e5d24eb5e3c5763f32098f284c4,240,24,18,1,0,0,16,1,24,17,stage3:train,4,4
2021.05.12.19.36.12_veh-35_02079_02176,2021.05.12.19.36.12_veh-35,2312461,878d4c380d6b94ac4e0c0d1f0bf2272278b31b113329468785cad3e5554b2f22,194,80,14,1,0,0,7,6,80,13,stage3:train,9,9
2021.05.12.22.00.38_veh-35_00005_00118,2021.05.12.22.00.38_veh-35,7294012,c8a642b5dacdb58e21ebdd4457517cc5da1110266c7dd92dcdbcd750800d35f4,226,6,17,1,0,0,15,1,6,16,stage1:train,1,1
