session_id,log_count,raw_frames,raw_allowlisted_frames,candidate_windows,eligible_scenes,unit_stride_eligible_scenes,cache_scenes,protocol_scenes,protocol_cell
2021.05.12.19.36.12_veh-35,9,3758,506,274,34,506,68,68,stage3:train
2021.05.12.22.00.38_veh-35,4,2956,344,213,21,344,50,50,stage1:train
2021.05.12.22.28.35_veh-35,6,4720,744,339,61,744,104,104,stage1:train
2021.05.12.23.36.44_veh-35,9,4098,757,297,52,757,99,99,stage1:train
2021.06.07.11.59.52_veh-35,1,362,17,26,2,17,3,3,stage1:train
2021.06.07.12.42.11_veh-38,3,1794,97,129,8,97,16,16,stage1:train
2021.06.07.12.54.00_veh-35,1,942,116,68,11,116,18,18,stage1:test
2021.06.07.13.53.57_veh-35,2,1832,308,132,22,308,37,37,stage3:train
2021.06.07.17.46.49_veh-35,3,3193,575,229,37,575,79,79,stage1:test
2021.06.07.17.48.02_veh-38,1,270,77,20,7,77,12,12,stage3:train
2021.06.07.18.53.26_veh-26,2,1252,157,91,12,157,25,25,stage3:train
2021.06.07.19.29.59_veh-38,2,1394,121,100,8,121,16,16,stage1:train
2021.06.07.19.43.00_veh-35,2,862,154,63,14,154,23,23,stage1:train
2021.06.08.12.00.19_veh-35,7,3542,469,257,37,469,61,61,stage1:train
2021.06.08.12.54.54_veh-26,6,4933,581,356,42,581,90,90,stage1:train
2021.06.08.14.14.51_veh-35,2,1095,222,79,16,222,28,28,stage2:audit
2021.06.08.14.35.24_veh-26,2,1388,222,100,19,222,33,33,stage2:test
2021.06.08.14.36.49_veh-38,1,764,87,55,6,87,14,14,stage3:train
2021.06.08.16.31.33_veh-38,3,1856,224,134,18,224,30,30,stage3:train
2021.06.08.17.25.03_veh-35,2,801,220,58,15,220,30,30,stage2:train
2021.06.08.17.36.50_veh-26,2,1186,183,85,14,183,23,23,stage1:train
2021.06.08.18.18.30_veh-38,3,1419,102,103,9,102,18,18,stage2:train
2021.06.08.18.59.48_veh-12,3,1729,119,124,6,119,17,17,stage1:train
2021.06.08.19.16.23_veh-26,2,591,54,43,3,54,8,8,stage3:train
2021.06.09.11.54.15_veh-12,23,10130,1256,733,85,1256,201,201,stage3:train
2021.06.09.12.06.35_veh-35,4,2518,338,182,23,338,47,47,stage1:audit
2021.06.09.12.39.51_veh-26,18,9762,1209,704,99,1209,181,181,stage1:train
2021.06.09.12.51.31_veh-35,22,9548,1009,692,61,1009,149,149,stage3:train
2021.06.09.14.03.17_veh-12,20,5454,578,397,40,578,97,97,stage3:train
2021.06.09.14.50.36_veh-26,28,7229,962,528,73,962,143,143,stage1:train
2021.06.09.14.58.55_veh-35,22,9720,1361,703,95,1361,195,195,stage3:train
2021.06.09.17.23.18_veh-38,23,10022,1473,725,94,1473,213,213,stage3:train
2021.06.09.17.37.09_veh-12,21,8470,1222,612,91,1222,184,184,stage3:train
2021.06.09.18.23.43_veh-35,23,9920,1467,719,112,1467,195,195,stage3:train
2021.06.09.19.40.26_veh-12,5,4058,617,293,41,617,89,89,stage3:test
2021.06.09.20.26.11_veh-35,6,2782,400,201,29,400,56,56,stage3:train
2021.06.14.11.44.56_veh-35,16,9364,1241,675,98,1241,178,178,stage3:test
2021.06.14.13.27.42_veh-35,29,8512,1179,622,82,1179,190,190,stage3:train
2021.06.14.13.28.41_veh-12,22,7668,1148,558,86,1148,166,166,stage3:audit
2021.06.14.14.03.45_veh-38,13,8614,959,621,78,959,152,152,stage3:test
2021.06.14.14.25.15_veh-26,23,7331,917,535,71,917,132,132,stage2:train
2021.06.14.16.32.09_veh-35,22,8578,1157,621,94,1157,167,167,stage3:train
2021.06.14.16.48.02_veh-12,21,9008,1420,654,105,1420,201,201,stage3:train
2021.06.14.17.26.26_veh-38,18,10103,1302,731,102,1302,191,191,stage1:train
2021.06.14.18.13.35_veh-26,31,7940,1037,583,66,1037,154,154,stage1:train
2021.06.14.18.33.41_veh-35,23,8644,1181,627,80,1181,175,175,stage1:train
2021.06.14.18.42.45_veh-12,28,7415,1009,542,75,1009,161,161,stage3:train
2021.06.14.19.22.11_veh-38,12,6722,679,485,55,679,101,101,stage3:train
2021.06.14.20.14.09_veh-26,6,2264,132,164,9,132,21,21,stage3:train
2021.06.23.14.06.20_veh-26,4,5340,738,383,52,738,100,100,stage3:audit
2021.06.23.14.54.32_veh-16,7,6466,1004,466,78,1004,135,135,stage1:train
2021.06.23.14.58.13_veh-35,6,9338,1389,670,113,1389,189,189,stage1:train
2021.06.23.15.18.10_veh-26,2,5563,754,398,52,754,107,107,stage3:train
2021.06.23.15.56.12_veh-16,3,8358,1188,598,85,1188,161,161,stage3:train
2021.06.23.16.52.00_veh-26,6,6976,930,501,63,930,126,126,stage3:train
2021.06.23.16.54.19_veh-35,7,7694,1049,552,68,1049,144,144,stage1:train
2021.06.23.17.31.36_veh-16,8,7576,1025,546,75,1025,138,138,stage1:test
2021.06.23.18.23.38_veh-26,5,3561,477,257,34,477,63,63,stage1:train
2021.06.23.20.00.35_veh-35,5,8372,1055,600,73,1055,141,141,stage1:train
2021.06.23.21.56.29_veh-35,5,6018,892,431,69,892,114,114,stage3:train
